Player,Shapley
1,0.01
2,0.01
3,0.01
4,0.01
5,0.01
6,0.01
7,0.01
8,0.01
9,0.020869565
10,0.020869565
11,0.020869565
12,0.020869565
13,0.020869565
14,0.020869565
15,0.020869565
16,0.020869565
17,0.020869565
18,0.020869565
19,0.020869565
20,0.020869565
21,0.033369565
22,0.033369565
23,0.033369565
24,0.033369565
25,0.033369565
26,0.033369565
27,0.046883079
28,0.046883079
29,0.046883079
30,0.046883079
31,0.046883079
32,0.046883079
33,0.046883079
34,0.046883079
35,0.046883079
36,0.046883079
37,0.046883079
38,0.046883079
39,0.046883079
40,0.046883079
41,0.063549745
42,0.063549745
43,0.063549745
44,0.063549745
45,0.063549745
46,0.063549745
47,0.063549745
48,0.063549745
49,0.082780515
50,0.082780515
51,0.082780515
52,0.082780515
53,0.082780515
54,0.082780515
55,0.082780515
56,0.082780515
57,0.082780515
58,0.106036329
59,0.106036329
60,0.106036329
61,0.106036329
62,0.106036329
63,0.106036329
64,0.106036329
65,0.106036329
66,0.106036329
67,0.106036329
68,0.106036329
69,0.106036329
70,0.106036329
71,0.139369662
72,0.139369662
73,0.139369662
74,0.139369662
75,0.139369662
76,0.139369662
77,0.139369662
78,0.139369662
79,0.139369662
80,0.139369662
81,0.189369662
82,0.189369662
83,0.189369662
84,0.189369662
85,0.189369662
86,0.189369662
87,0.189369662
88,0.189369662
89,0.189369662
90,0.189369662
91,0.289369662
92,0.289369662
93,0.289369662
94,0.289369662
95,0.289369662
96,0.289369662
97,0.289369662
98,0.289369662
99,0.289369662
100,0.289369662
